generation,index,cost,preference,penalty,rank,crowdingDistance,feasible,route
0,1,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
0,2,253.0,81.0,0.0,1,0.0,true,"City4(Day 2)"
0,3,366.0,256.0,0.0,1,0.0,true,"City18(Day 0) -> City22(Day 5)"
0,4,234.0,64.0,0.0,1,0.0,true,"City18(Day 0)"
0,5,527.0,324.0,0.0,1,0.0,true,"City21(Day 3) -> City4(Day 4) -> City7(Day 6)"
1,1,485.0,484.0,0.0,1,0.0,true,"City14(Day 1) -> City16(Day 3) -> City24(Day 6)"
1,2,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
1,3,253.0,81.0,0.0,1,0.0,true,"City4(Day 2)"
1,4,466.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City15(Day 4) -> City22(Day 5)"
1,5,596.0,625.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4) -> City4(Day 5)"
1,6,234.0,64.0,0.0,1,0.0,true,"City18(Day 0)"
1,7,315.0,256.0,0.0,1,0.0,true,"City18(Day 2) -> City22(Day 5)"
2,1,498.0,576.0,0.0,1,0.0,true,"City16(Day 1) -> City4(Day 2) -> City18(Day 3)"
2,2,403.0,289.0,0.0,1,0.0,true,"City16(Day 1) -> City19(Day 2) -> City21(Day 6)"
2,3,253.0,81.0,0.0,1,0.0,true,"City4(Day 2)"
2,4,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
2,5,596.0,625.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4) -> City4(Day 5)"
2,6,315.0,256.0,0.0,1,0.0,true,"City18(Day 2) -> City22(Day 5)"
2,7,234.0,64.0,0.0,1,0.0,true,"City18(Day 0)"
2,8,429.0,529.0,0.0,1,0.0,true,"City18(Day 2) -> City22(Day 5) -> City16(Day 6)"
3,1,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
3,2,253.0,81.0,0.0,1,0.0,true,"City4(Day 2)"
3,3,315.0,256.0,0.0,1,0.0,true,"City18(Day 2) -> City22(Day 5)"
3,4,374.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 1) -> City18(Day 4)"
3,5,429.0,529.0,0.0,1,0.0,true,"City18(Day 2) -> City22(Day 5) -> City16(Day 6)"
3,6,596.0,625.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4) -> City4(Day 5)"
3,7,445.0,576.0,0.0,1,0.0,true,"City14(Day 1) -> City16(Day 3) -> City18(Day 5)"
3,8,234.0,64.0,0.0,1,0.0,true,"City18(Day 0)"
4,1,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
4,2,253.0,81.0,0.0,1,0.0,true,"City4(Day 2)"
4,3,445.0,576.0,0.0,1,0.0,true,"City14(Day 1) -> City16(Day 3) -> City18(Day 5)"
4,4,315.0,256.0,0.0,1,0.0,true,"City18(Day 2) -> City22(Day 5)"
4,5,274.0,225.0,0.0,1,0.0,true,"City16(Day 2) -> City18(Day 4)"
4,6,234.0,64.0,0.0,1,0.0,true,"City18(Day 0)"
4,7,429.0,529.0,0.0,1,0.0,true,"City18(Day 2) -> City22(Day 5) -> City16(Day 6)"
4,8,596.0,625.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4) -> City4(Day 5)"
4,9,362.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 5)"
5,1,234.0,64.0,0.0,1,0.0,true,"City18(Day 0)"
5,2,360.0,361.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 2) -> City19(Day 3)"
5,3,445.0,576.0,0.0,1,0.0,true,"City14(Day 1) -> City16(Day 3) -> City18(Day 5)"
5,4,536.0,625.0,0.0,1,0.0,true,"City4(Day 0) -> City18(Day 3) -> City22(Day 5)"
5,5,425.0,400.0,0.0,1,0.0,true,"City19(Day 2) -> City22(Day 3) -> City18(Day 4)"
5,6,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
5,7,429.0,529.0,0.0,1,0.0,true,"City18(Day 2) -> City22(Day 5) -> City16(Day 6)"
5,8,253.0,81.0,0.0,1,0.0,true,"City4(Day 2)"
5,9,315.0,256.0,0.0,1,0.0,true,"City18(Day 2) -> City22(Day 5)"
5,10,274.0,225.0,0.0,1,0.0,true,"City16(Day 2) -> City18(Day 4)"
6,1,253.0,81.0,0.0,1,0.0,true,"City4(Day 2)"
6,2,274.0,225.0,0.0,1,0.0,true,"City16(Day 2) -> City18(Day 4)"
6,3,437.0,576.0,0.0,1,0.0,true,"City4(Day 2) -> City16(Day 4) -> City18(Day 5)"
6,4,360.0,361.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 2) -> City19(Day 3)"
6,5,536.0,625.0,0.0,1,0.0,true,"City4(Day 0) -> City18(Day 3) -> City22(Day 5)"
6,6,429.0,529.0,0.0,1,0.0,true,"City18(Day 2) -> City22(Day 5) -> City16(Day 6)"
6,7,412.0,400.0,0.0,1,0.0,true,"City18(Day 2) -> City19(Day 3) -> City22(Day 6)"
6,8,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
6,9,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
6,10,234.0,64.0,0.0,1,0.0,true,"City18(Day 0)"
7,1,274.0,225.0,0.0,1,0.0,true,"City16(Day 2) -> City18(Day 4)"
7,2,412.0,400.0,0.0,1,0.0,true,"City18(Day 2) -> City19(Day 3) -> City22(Day 6)"
7,3,360.0,361.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 2) -> City19(Day 3)"
7,4,253.0,81.0,0.0,1,0.0,true,"City4(Day 2)"
7,5,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
7,6,534.0,625.0,0.0,1,0.0,true,"City4(Day 0) -> City22(Day 3) -> City18(Day 4)"
7,7,437.0,576.0,0.0,1,0.0,true,"City4(Day 2) -> City16(Day 4) -> City18(Day 5)"
7,8,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
7,9,414.0,529.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 2) -> City22(Day 6)"
7,10,234.0,64.0,0.0,1,0.0,true,"City18(Day 0)"
8,1,274.0,225.0,0.0,1,0.0,true,"City16(Day 2) -> City18(Day 4)"
8,2,253.0,81.0,0.0,1,0.0,true,"City4(Day 2)"
8,3,499.0,625.0,0.0,1,0.0,true,"City4(Day 1) -> City18(Day 3) -> City22(Day 5)"
8,4,412.0,400.0,0.0,1,0.0,true,"City18(Day 2) -> City19(Day 3) -> City22(Day 6)"
8,5,234.0,64.0,0.0,1,0.0,true,"City18(Day 0)"
8,6,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
8,7,360.0,361.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 2) -> City19(Day 3)"
8,8,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
8,9,414.0,529.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 2) -> City22(Day 6)"
8,10,437.0,576.0,0.0,1,0.0,true,"City4(Day 2) -> City16(Day 4) -> City18(Day 5)"
8,11,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
9,1,499.0,625.0,0.0,1,0.0,true,"City4(Day 1) -> City18(Day 3) -> City22(Day 5)"
9,2,367.0,441.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 2) -> City24(Day 3)"
9,3,356.0,289.0,0.0,1,0.0,true,"City14(Day 1) -> City18(Day 3)"
9,4,253.0,81.0,0.0,1,0.0,true,"City4(Day 2)"
9,5,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
9,6,392.0,529.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 2) -> City22(Day 5)"
9,7,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
9,8,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
9,9,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
9,10,274.0,225.0,0.0,1,0.0,true,"City16(Day 2) -> City18(Day 4)"
9,11,437.0,576.0,0.0,1,0.0,true,"City4(Day 2) -> City16(Day 4) -> City18(Day 5)"
9,12,360.0,361.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 2) -> City19(Day 3)"
10,1,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
10,2,343.0,289.0,0.0,1,0.0,true,"City14(Day 1) -> City18(Day 4)"
10,3,360.0,361.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 2) -> City19(Day 3)"
10,4,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
10,5,543.0,676.0,0.0,1,0.0,true,"City14(Day 1) -> City4(Day 4) -> City18(Day 5)"
10,6,392.0,529.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 2) -> City22(Day 5)"
10,7,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
10,8,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
10,9,426.0,576.0,0.0,1,0.0,true,"City4(Day 2) -> City16(Day 3) -> City18(Day 5)"
10,10,367.0,441.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 2) -> City24(Day 3)"
10,11,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
10,12,499.0,625.0,0.0,1,0.0,true,"City4(Day 1) -> City18(Day 3) -> City22(Day 5)"
11,1,343.0,289.0,0.0,1,0.0,true,"City14(Day 1) -> City18(Day 4)"
11,2,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
11,3,367.0,441.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 2) -> City24(Day 3)"
11,4,236.0,121.0,0.0,1,0.0,true,"City16(Day 0) -> City19(Day 3)"
11,5,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
11,6,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
11,7,360.0,361.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 2) -> City19(Day 3)"
11,8,499.0,625.0,0.0,1,0.0,true,"City4(Day 1) -> City18(Day 3) -> City22(Day 5)"
11,9,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
11,10,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
11,11,426.0,576.0,0.0,1,0.0,true,"City4(Day 2) -> City16(Day 3) -> City18(Day 5)"
11,12,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
11,13,543.0,676.0,0.0,1,0.0,true,"City14(Day 1) -> City4(Day 4) -> City18(Day 5)"
12,1,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
12,2,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
12,3,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
12,4,426.0,576.0,0.0,1,0.0,true,"City4(Day 2) -> City16(Day 3) -> City18(Day 5)"
12,5,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
12,6,499.0,625.0,0.0,1,0.0,true,"City4(Day 1) -> City18(Day 3) -> City22(Day 5)"
12,7,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
12,8,236.0,121.0,0.0,1,0.0,true,"City16(Day 0) -> City19(Day 3)"
12,9,343.0,289.0,0.0,1,0.0,true,"City14(Day 1) -> City18(Day 4)"
12,10,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
12,11,543.0,676.0,0.0,1,0.0,true,"City14(Day 1) -> City4(Day 4) -> City18(Day 5)"
12,12,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
13,1,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
13,2,499.0,625.0,0.0,1,0.0,true,"City4(Day 1) -> City18(Day 3) -> City22(Day 5)"
13,3,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
13,4,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
13,5,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
13,6,543.0,676.0,0.0,1,0.0,true,"City14(Day 1) -> City4(Day 4) -> City18(Day 5)"
13,7,236.0,121.0,0.0,1,0.0,true,"City16(Day 0) -> City19(Day 3)"
13,8,426.0,576.0,0.0,1,0.0,true,"City4(Day 2) -> City16(Day 3) -> City18(Day 5)"
13,9,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
13,10,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
13,11,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
13,12,343.0,289.0,0.0,1,0.0,true,"City14(Day 1) -> City18(Day 4)"
14,1,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
14,2,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
14,3,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
14,4,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
14,5,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
14,6,499.0,625.0,0.0,1,0.0,true,"City4(Day 1) -> City18(Day 3) -> City22(Day 5)"
