generation,index,cost,preference,penalty,rank,crowdingDistance,feasible,route
0,1,387.0,196.0,0.0,2,0.0,true,"City24(Day 2) -> City22(Day 4)"
0,2,369.0,100.0,37.0,23,0.0,false,"City10(Day 1)"
0,3,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
0,4,395.0,49.0,13.0,15,0.0,false,"City2(Day 0) -> City13(Day 1)"
0,5,656.0,169.0,69.0,32,0.0,false,"City12(Day 0) -> City20(Day 1) -> City11(Day 5)"
0,6,480.0,36.0,23.0,18,0.0,false,"City11(Day 2) -> City13(Day 4)"
0,7,509.0,81.0,46.0,27,0.0,false,"City21(Day 3) -> City8(Day 6)"
0,8,297.0,25.0,25.0,19,0.0,false,"City23(Day 4)"
0,9,284.0,81.0,0.0,2,0.0,true,"City14(Day 1)"
0,10,605.0,361.0,5.0,8,0.0,false,"City15(Day 1) -> City18(Day 2) -> City1(Day 4)"
0,11,741.0,169.0,165.0,39,0.0,false,"City11(Day 3) -> City1(Day 4) -> City20(Day 5)"
0,12,617.0,289.0,36.0,22,0.0,false,"City16(Day 3) -> City21(Day 4) -> City19(Day 5)"
0,13,673.0,400.0,86.0,35,0.0,false,"City25(Day 2) -> City15(Day 3) -> City14(Day 6)"
0,14,278.0,1.0,26.0,20,0.0,false,"City9(Day 2)"
0,15,773.0,576.0,230.0,43,0.0,false,"City10(Day 1) -> City3(Day 2) -> City22(Day 4)"
0,16,482.0,169.0,0.0,3,0.0,true,"City25(Day 4) -> City4(Day 6)"
0,17,601.0,100.0,48.0,28,0.0,false,"City17(Day 0) -> City25(Day 3)"
0,18,606.0,484.0,64.0,31,0.0,false,"City10(Day 0) -> City16(Day 4) -> City23(Day 6)"
0,19,730.0,36.0,169.0,41,0.0,false,"City6(Day 0) -> City13(Day 2) -> City9(Day 6)"
0,20,540.0,49.0,9.0,12,0.0,false,"City5(Day 0) -> City6(Day 4)"
0,21,305.0,16.0,0.0,5,0.0,true,"City1(Day 4)"
0,22,480.0,121.0,8.0,11,0.0,false,"City15(Day 1) -> City12(Day 5)"
0,23,444.0,100.0,20.0,17,0.0,false,"City3(Day 0) -> City19(Day 3)"
0,24,601.0,196.0,33.0,21,0.0,false,"City23(Day 0) -> City4(Day 1)"
0,25,533.0,225.0,10.0,13,0.0,false,"City2(Day 1) -> City24(Day 4) -> City11(Day 5)"
0,26,709.0,441.0,152.0,38,0.0,false,"City15(Day 4) -> City11(Day 5) -> City10(Day 6)"
0,27,253.0,81.0,0.0,1,0.0,true,"City4(Day 2)"
